tweet_id,user,text,date,retweets,replies,likes,quotes,has_viz
1441858947800051713,Surgeon_General,"Another heartbreaking milestone of loss for our country. Every single person mattered. If you have lost a loved one to COVID, I am so sorry. May you find peace and solace in their memory.  
 
https://t.co/2mBPTxdXQe",09/25/2021 20:15:36,568,156,1752,57,False
1441449437226696708,Surgeon_General,RT @nowthisnews: U.S. Surgeon General Dr. Vivek Murthy explains who is currently eligible to receive a Pfizer COVID-19 booster shot https:/…,09/24/2021 17:08:21,65,0,0,0,False
1441440805500166151,Surgeon_General,"RT @WHCOVIDResponse: Tune in now for this afternoon’s COVID-19 briefing with Dr. Fauci, Dr. Murthy, Dr. Walensky, and Jeff Zients.  https:/…",09/24/2021 16:34:03,83,0,0,0,False
1438943671362199553,Surgeon_General,"Thank you for having me, @Bakari_Sellers! Appreciated your questions on how we’re working to tackle the #COVID19 pandemic and on how important it is to address the toll on our mental health. https://t.co/sOf2rOI63I",09/17/2021 19:11:20,12,21,37,1,False
1438894587762860032,Surgeon_General,"RT @WHCOVIDResponse: Tune in now for this morning’s COVID-19 briefing with Dr. Fauci, Dr. Murthy, Dr. Walensky, and Jeff Zients.  https://t…",09/17/2021 15:56:17,66,0,0,0,False
1438882057111982081,Surgeon_General,"COVID continues to take a toll on health care workers battling through exhaustion and frustration as they work to save lives. I’m grateful for them. I think we can all take a page from Dr. Kakli—we are players on Team Humanity, and our real opponent is the virus, not each other. https://t.co/8hrDR87Wt6",09/17/2021 15:06:30,77,32,189,10,False
1436353104530722820,Surgeon_General,"RT @WHCOVIDResponse: Tune in now for this morning’s COVID-19 briefing with Dr. Fauci, Dr. Murthy, Dr. Walensky, and Jeff Zients. https://t.…",09/10/2021 15:37:20,71,0,0,0,False
1436120736540811272,Surgeon_General,RT @BarackObama: It was great speaking with @Surgeon_General Murthy and the COVID-19 Community Corps volunteers across the country who've b…,09/10/2021 00:14:00,1498,0,0,0,False
1436072700682784784,Surgeon_General,"Thank you @BarackObama for joining this week’s COVID-19 Community Corps call to honor the work our Corps members have done — not only to protect our nation from #COVID19, but to remind us that we can all be powerful sources of healing for one another. https://t.co/vSYk6aBEnV",09/09/2021 21:03:07,192,62,767,24,True
1433799947728605187,Surgeon_General,"Are you wondering about the speed at which #COVID19 vaccines were developed? Here’s what you need to know. ⬇️ 

Have other #COVID19 questions? Reach out to #AsktheSG. https://t.co/YUBkjrSguv",09/03/2021 14:32:00,38,33,70,2,True
1433479668800397314,Surgeon_General,"I joined @PH_Comms to talk about how we talk about #COVID19:

🗣 Staying upfront about what we know and don’t know
🦠 Responding to a changing virus and misinformation
🎤 Passing the mic to trusted messengers

Watch it here: https://t.co/seMayIu7Ym. https://t.co/LzDXzw9qi2",09/02/2021 17:19:20,13,10,25,0,False
